FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Private,0.657,22,1033,33675,32400
Private,0.9299,21,1019,33966,20600
Public,0.714,24,1092,25248,47000
Private,0.695,22,1030,35481,43400
Public,0.6239,29,1303,28564,50700
Private,0.5838,28,1241,48522,48500
Private,0.6129,22,1024,36829,34400
Private,0.5697,28,1252,48940,61700
Public,0.6892,24,1110,25416,40600
Private,0.7069,23,1045,37635,36300
Private,0.5727,26,1157,49743,41600
Private,0.5587,24,1088,34079,43500
Private,0.6875,22,996,25309,27400
Private,0.8747,18,850,28702,25700
Private,0.914,27,1195,47727,45500
Private,0.7488,21,964,30843,32700
Private,0.6289,23,1046,37004,40500
Private,0.5512,24,1087,39576,38600
Private,0.6431,23,1049,40578,35500
Private,0.6365,25,1125,41218,40100
Private,0.5234,22,1030,31065,37300
Public,0.5613,22,1010,27621,39500
Private,0.1532,33,1458,60729,58100
Public,0.5981,19,890,22273,33100
Private,0.8196,24,1105,39125,33900
Private,0.8859,23,1048,36948,33500
Private,0.4097,22,1029,37253,37400
Private,0.7878,22,1035,43650,39400
Private,0.5997,22,1031,36307,40100
Private,0.5141,23,1070,36226,44700
Private,0.5054,22,1010,35284,40800
Public,0.5977,24,1085,21385,40000
Public,0.7887,22,1032,24234,37400
Public,0.8419,23,1050,21137,37800
Private,0.9022,23,1053,33611,37800
Private,0.9372,23,1049,37929,37200
Public,0.5931,21,970,24375,37200
Private,0.6871,30,1318,41394,39700
Private,0.5545,23,1053,37937,33400
Public,0.6054,22,1053,21101,35800
Private,0.7158,24,1047,33617,33200
Private,0.661,28,1212,47010,50700
Private,0.4,18,855,19530,38700
Private,0.6121,27,1215,51050,44800
Private,0.637,29,1262,50930,29900
Private,0.8409,26,1147,42674,37000
Private,0.6002,22,1010,37962,37400
Private,0.5506,26,1123,37707,34400
Private,0.7884,23,1050,32506,33800
Private,0.6673,26,1130,42198,37300
Private,0.7231,23,1014,33660,30200
Private,0.9732,24,1054,34764,31900
Public,0.8309,22,996,18837,32000
Public,0.6958,22,1013,20846,37400
Private,0.8443,22,1018,36158,36700
Private,0.7225,20,934,35911,37600
Public,0.6934,22,1004,17996,31300
Public,0.8306,19,910,19549,33100
Public,0.7355,21,950,15874,33900
Public,0.7003,21,962,17377,31300
Public,0.7217,27,1198,23043,42000
Public,0.7625,20,918,18092,34100
Public,0.7945,20,950,16753,32800
Public,0.5381,21,943,15334,27600
Private,0.7116,22,1017,38505,35900
Private,0.5795,22,1024,39369,39800
Private,0.9515,24,1083,33770,45100
Private,0.223,33,1450,57805,63200
Private,0.7285,22,988,31104,30600
Public,0.7218,20,954,13713,32800
Private,0.5622,30,1310,55413,71300
Private,0.5362,21,981,31516,36600
Private,0.6419,22,998,37135,35800
Private,0.9754,19,895,40349,29800
Private,0.8568,26,1141,45920,41800
